DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
-0.29018894,0.023303267,-0.011442111,-0.09231818,-0.024102965,0.0062260265,-0.055940952,-0.35308287,0.056635518,Venda
-0.28383788,0.08240726,-0.00938144,-0.047708094,-0.027202377,-0.0025359313,-0.080109216,-0.2918366,-0.02922374,Venda
-0.4535963,0.036927715,-0.0035084365,-0.041674763,0.01495295,-0.021690615,0.23387447,-0.53291804,0.2585186,Venda
-0.2760782,0.030370716,-0.0061014863,-0.027563462,-0.009184293,0.015692277,0.17867474,-0.766614,0.15570833,Venda
-0.3119458,0.009689477,-0.007833352,-0.022217374,-0.004250307,0.01382417,0.1320909,-0.669098,0.124157965,Venda
-0.2638965,0.010582227,-0.008968319,-0.03410162,-0.0033411144,0.014860412,0.1407173,-0.68748677,0.06388304,Venda
-0.19042626,0.024504116,-0.007185421,-0.033591785,0.0020960942,0.016500307,0.13035083,-0.7770598,0.39848727,Venda
-0.29695863,-0.0070252437,-0.007604064,-0.024832275,-0.0021235964,0.018187441,0.21887048,-0.73807365,-0.020983536,Venda
-0.29817945,0.044670694,-0.008904399,-0.010873999,-0.0016568275,0.01868847,0.16007917,-0.7526821,-0.0030230014,Venda
-0.2656729,0.050932605,-0.0069229594,-0.0212055,-0.005546194,0.036334477,0.1568069,-0.7142773,0.058820155,Venda
-0.25089717,0.05237288,-0.0061723264,-0.008682891,-0.006133868,0.02998998,0.15806466,-0.72947186,0.14648427,Venda
-0.18745072,0.055459924,-0.0056581455,-0.006625437,-0.006944246,0.0372499,0.14697213,-0.7290025,0.20559122,Venda
-0.18745072,0.055459924,-0.0056581455,-0.006625437,-0.006944246,0.0372499,0.14697213,-0.7290025,0.20559122,Venda
-0.24524155,0.059171304,-0.0063433023,-0.0028523512,-0.0065754917,0.03674522,0.15723431,-0.71738994,0.11640669,Venda
-0.19511534,0.062258083,-0.0055230935,0.00028359867,-0.005419344,0.038817916,0.15346752,-0.7207223,0.24778841,Venda
-0.43971765,-0.058807872,-0.0060488274,0.03739603,-0.008298846,0.034405615,0.18060344,-0.76931614,0.17445692,Venda
-0.44347245,-0.062499605,-0.005802533,0.03402453,-0.0082302755,0.026996866,0.17708579,-0.75652826,0.17252953,Venda
-0.4108257,-0.07237706,-0.00740242,0.03696928,-0.0050604707,0.015150064,0.17349419,-0.7723683,0.19933906,Venda
-0.49146205,-0.07572153,-0.006526512,0.01840703,-0.003430069,0.009691349,0.19391325,-0.744883,0.20099664,Venda
-0.50699425,-0.08406858,-0.0067069656,0.027233228,-0.0059421845,0.015683537,0.20103033,-0.74277973,0.20460539,Venda
-0.50995797,-0.08341662,-0.007453249,0.04337977,-0.0073935054,0.020665707,0.1385888,-0.70584065,0.21486175,Venda
-0.14086589,-0.05858784,-0.0052264594,-0.014401944,0.00015095166,0.056182925,0.16241895,-0.77730864,0.059730187,Venda
-0.15926184,-0.064564615,-0.003323047,-0.0026475082,0.00063150143,0.07101,0.21816905,-0.9188766,0.10135316,Venda
-0.19726783,-0.079468414,-0.014012621,-0.050340697,-0.04521932,0.08390424,-0.06315423,-1.031155,0.0916794,Venda
-0.18502216,-0.07275539,-0.014894257,-0.037428595,-0.033066314,0.08327975,-0.07323986,-1.0709698,0.039067052,Venda
-0.19394639,-0.070032105,-0.014596469,-0.048060324,-0.039109778,0.08250307,-0.07464188,-1.0658747,0.06538997,Venda
-0.19036885,-0.000601991,-0.01402225,-0.04492297,-0.03707792,0.08047472,-0.086748324,-1.0506755,0.08889334,Venda
-0.15463434,0.025539497,-0.016118953,-0.05137417,-0.024100645,0.056132585,-0.100759886,-0.98780304,0.093102425,Venda
-0.17426108,-0.012638957,-0.013338964,-0.029710688,-0.0022365898,0.05632497,-0.013063439,-0.9919723,0.12287247,Venda
